facebook.com,173.252.120.6
amazon.com,176.32.98.166
youtube.com,74.125.225.167
hotmail.com,65.55.77.28
paipai.com,163.177.65.177
wordpress.com,192.0.78.17
ifeng.com,210.51.19.61
alipay.com,110.75.143.33
yahoo.com,98.138.253.109
tudou.com,123.126.98.150
360.cn,106.120.167.66
softonic.com,46.28.209.20
live.com,65.55.206.154
craigslist.org,208.82.238.129
nifty.com,210.131.4.217
goo.ne.jp,218.213.142.230
yahoo.co.jp,183.79.135.206
weather.com,96.8.85.132
imageshack.us,208.94.0.193
bbc.co.uk,212.58.246.104
wikipedia.org,208.80.154.224
sohu.com,123.125.116.19
msn.com,23.101.196.141
soku.com,211.151.146.5
baidu.com,220.181.111.86
yandex.ru,93.158.134.11
blogspot.com,74.125.201.191
alibaba.com,205.204.96.36
cnn.com,157.166.226.25
myspace.com,216.178.46.224
microsoft.com,134.170.185.46
apple.com,17.142.160.59
megaupload.com,
hao123.com,123.125.114.224
tianya.cn,124.225.135.222
mail.ru,217.69.139.199
qq.com,125.39.240.113
windows.com,134.170.185.46
mywebsearch.com,74.113.237.48
ebay.com,66.135.216.190
renren.com,220.181.181.224
cnet.com,64.30.224.118
pps.tv,58.83.190.154
zynga.com,184.75.170.150
xunlei.com,163.177.79.253
livedoor.jp,125.6.149.67
56.com,59.32.213.232
partypoker.com,194.150.36.34
blogger.com,64.233.182.191
hp.com,15.201.225.10
go.com,199.181.131.249
walmart.com,161.170.248.20
fc2.com,54.241.184.159
kugou.com,183.61.119.254
paypal.com,66.211.169.3
taobao.com,110.75.115.70
sogou.com,180.149.156.71
ebay.de,66.135.215.61
4399.com,115.182.52.231
tmall.com,110.75.115.70
orkut.com,74.125.193.85
youdao.com,61.135.218.29
skype.com,91.190.216.21
bing.com,204.79.197.200
ameblo.jp,180.233.142.129
vkontakte.ru,95.213.4.242
ku6.com,122.11.45.243
sina.com.cn,202.108.33.60
naver.com,125.209.222.141
hotfile.com,
answers.com,67.196.156.65
soso.com,106.120.151.169
flickr.com,69.147.76.173
rakuten.co.jp,133.237.48.124
rapidshare.com,144.76.0.3
4shared.com,208.88.224.137
about.com,207.241.148.80
amazon.co.jp,54.240.252.0
qiyi.com,202.108.14.16
linkedin.com,216.52.242.86
dailymotion.com,195.8.215.136
daum.net,114.108.157.19
imdb.com,72.21.210.29
orkut.com.br,64.233.182.87
163.com,123.58.180.7
pconline.com.cn,219.136.245.40
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.39
mozilla.com,63.245.217.194
youku.com,211.151.146.209
sdjjdsaf.com,
7k7k.com,115.182.59.33
andysayler.com,162.243.49.20
aol.com,64.12.89.186
odnoklassniki.ru,217.20.147.94
wmfo.org,23.92.21.128
2345.com,42.62.30.180
jp.msn.com,23.101.196.141
photobucket.com,209.17.68.100
mediafire.com,205.196.120.13
ehow.com,23.227.2.46
seesaa.net,59.106.28.139
